"month","date","sex","species","age","y","x","region"
1,2010-01-14,"F","human",53.0273224413395,-8.61723727079235,36.3440139152432,"Lindi"
1,2010-01-16,"F","dog",6.52014636993408,-8.8555553604826,32.0515076924438,"Mara"
1,2010-01-16,"M","dog",2.5572942905128,-5.89749497251791,38.4670936186125,"Lindi"
1,2010-01-24,"F","jackal",6.76291732676327,-7.95043518856339,37.784355534264,"Morogoro"
1,2010-01-25,"M","dog",1.19637516327202,-10.3198273410232,35.7724255549022,"Singida"
2,2010-02-26,"M","jackal",4.01351973228157,-8.0225092626131,33.3233092261652,"Kigoma"
3,2010-03-03,"F","dog",3.66122408397496,-1.90089407515978,34.4518997377727,"Mara"
4,2010-04-05,"F","dog",7.38599663414061,-4.19015192131694,30.5609063653682,"Simiyu"
5,2010-05-09,"F","cat",4.47077344544232,-5.34204186206837,34.131749021541,"Katavi"
5,2010-05-13,"M","jackal",1.87361941114068,-1.72821169571881,35.0201875690639,"Morogoro"
5,2010-05-27,"F","cat",1.78731560520828,-10.2091770334086,35.0881234538808,"Morogoro"
6,2010-06-03,"F","dog",6.83991510793567,-8.56726423438859,33.8639358099436,"Morogoro"
6,2010-06-22,"M","lion",3.23019530391321,-8.15713734705102,37.7570825208295,"Ruvuma"
7,2010-07-07,"M","dog",3.9259093105793,-6.19992384668398,36.7238858071123,"Iringa"
7,2010-07-18,"F","jackal",7.55297515913844,-5.2914617421727,33.0558664869781,"Kagera"
7,2010-07-31,"M","dog",6.47594011388719,-6.65075721833775,35.268874600183,"Katavi"
8,2010-08-06,"M","lion",0.229146288475022,-7.55360193176145,37.5614533214351,"Tabora"
8,2010-08-06,"M","dog",6.79857079870999,-2.80646597265151,34.1039304132692,"Lindi"
8,2010-08-11,"M","dog",6.74794925935566,-7.70081770996151,35.9575223245563,"Pwani"
8,2010-08-11,"M","dog",4.66780800931156,-5.48691227640993,36.3797044221631,"Morogoro"
8,2010-08-13,"F","dog",7.42932918109,-5.04535295514053,36.3217099854699,"Mbeya"
9,2010-09-01,"F","dog",3.70731521211565,-5.2328237039947,34.156283418598,"Kigoma"
9,2010-09-09,"M","dog",0.69715222530067,-3.76642098568317,33.4682394832999,"Singida"
